,Label,Skin Type,Characteristics,Skincare Recommendations,Soap Recommendation,Cream Recommendation,Scrub Recommendation,Face Cleanser Recommendation,Face Cream Recommendation,Common Skin Concerns
780,781,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
781,782,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
782,783,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
783,784,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
784,785,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
785,786,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
786,787,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
787,788,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
788,789,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
789,790,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
790,791,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
791,792,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
792,793,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
793,794,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
794,795,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
795,796,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
796,797,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
797,798,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
798,799,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
799,800,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
800,801,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
801,802,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
802,803,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
803,804,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
804,805,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
805,806,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
806,807,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
807,808,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
808,809,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
809,810,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
810,811,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
811,812,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
812,813,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
813,814,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
814,815,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
815,816,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
816,817,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
817,818,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
818,819,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
819,820,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
820,821,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
821,822,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
822,823,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
823,824,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
824,825,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
825,826,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
826,827,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
827,828,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
828,829,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
829,830,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
830,831,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
831,832,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
832,833,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
833,834,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
834,835,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
835,836,Normal Skin,"Balanced, not too dry nor too oily - Small pores, smooth texture - Not prone to breakouts, flakiness, or tightness",Maintain hydration with proper skincare - Lock in moisture with products containing aloe vera - Support the protective barrier,Gentle and pH-balanced cleanser,Any light and non-comedogenic moisturizer,Mild exfoliating scrub,Everyday face cleanser,Hydrating day cream,"Generally balanced, but may experience occasional sensitivity."
836,837,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
837,838,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
838,839,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
839,840,Oily Skin,"Excess sebum, shiny appearance - Prone to enlarged pores, acne blemishes, blackheads, and whiteheads","Use a gentle, foaming cleanser with salicylic acid - Choose lightweight, oil-free, and non-comedogenic moisturizer with hyaluronic acid - Nourish and hydrate without clogging pores",Oil-free and non-comedogenic cleanser,Gel-based or water-based moisturizer,Exfoliating scrub with salicylic acid,Foaming face cleanser,Oil-free face cream,Prone to acne breakouts and enlarged pores. May require extra care in managing oiliness.
840,841,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
841,842,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
842,843,Dry Skin,"Produces fewer natural oils - Dull, rough, or scaly appearance - Feels tight, less elastic - Prone to visible fine lines","Include gentle, soothing, and hydrating ingredients like glycerin - Use products with ceramides - Avoid long, hot showers - Moisturize multiple times per day - Choose fragrance-free, non-comedogenic, and alcohol-free skincare products",Mild and hydrating cleanser,Rich and creamy moisturizer,Hydrating scrub with moisturizing beads,Hydrating face cleanser,Night repair cream,"Prone to dryness, flakiness, and visible fine lines."
843,844,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
844,845,Sensitive Skin,"Prone to redness, burning, itching, or dryness. Reactive to external irritants and certain ingredients.",Identify triggers and avoid specific ingredients like fragrances and harsh chemicals - Modify environment to reduce exposure to triggering agents,Hypoallergenic and fragrance-free cleanser,Fragrance-free and gentle moisturizer,Gentle exfoliating scrub for sensitive skin,Gentle face cleanser for sensitive skin,Soothing face cream,"May experience heightened reactivity, leading to discomfort and visible reactions."
845,846,Combination Skin,"Areas that are both dry and oily - Oily T-zone, normal or dry cheeks - Variability based on seasons, stress, or hormone fluctuations",Focus on effective cleansing and hydration - Adapt skincare routine to address different areas - Use a combination of products suitable for both dry and oily skin,Mild cleanser for combination skin,Use separate moisturizers for dry and oily areas,Balancing scrub for combination skin,Balancing face cleanser,Dual-action face cream,"May experience both dryness and oiliness, especially in different facial areas."
